id,code,name,account_type,reconcile
__import__.rawasi_coa_111001,111001,الأراضي,asset_fixed,False
__import__.rawasi_coa_111002,111002,العقارات والمباني,asset_fixed,False
__import__.rawasi_coa_111003,111003,السيارات,asset_fixed,False
__import__.rawasi_coa_111004,111004,الأثاث والمفروشات,asset_fixed,False
__import__.rawasi_coa_111005,111005,أجهزة الحاسب والطابعات,asset_fixed,False
__import__.rawasi_coa_111006,111006,الآلات والمعدات,asset_fixed,False
__import__.rawasi_coa_111007,111007,البيوت الجاهزة والكرفانات,asset_fixed,False
__import__.rawasi_coa_111008,111008,الأدوات الكهربائية,asset_fixed,False
__import__.rawasi_coa_111009,111009,الأخشاب,asset_fixed,False
__import__.rawasi_coa_112001,112001,مجمع إهلاك العقارات والمباني,asset_fixed,False
__import__.rawasi_coa_112002,112002,مجمع إهلاك السيارات,asset_fixed,False
__import__.rawasi_coa_112003,112003,مجمع إهلاك الأثاث والمفروشات,asset_fixed,False
__import__.rawasi_coa_112004,112004,مجمع إهلاك أجهزة الحاسب والطابعات,asset_fixed,False
__import__.rawasi_coa_112005,112005,مجمع إهلاك الآلات والمعدات,asset_fixed,False
__import__.rawasi_coa_112006,112006,مجمع إهلاك البيوت الجاهزة والكرفانات,asset_fixed,False
__import__.rawasi_coa_112007,112007,مجمع إهلاك الأدوات الكهربائية,asset_fixed,False
__import__.rawasi_coa_112008,112008,مجمع إهلاك الأخشاب,asset_fixed,False
__import__.rawasi_coa_113001,113001,عقار استثماري 1,asset_non_current,False
__import__.rawasi_coa_121001,121001,البنك الأهلي,asset_cash,False
__import__.rawasi_coa_121002,121002,بنك الرياض,asset_cash,False
__import__.rawasi_coa_121003,121003,البنك الراجحي,asset_cash,False
__import__.rawasi_coa_121004,121004,بنوك آخــرى,asset_cash,False
__import__.rawasi_coa_121005,121005,البنك السعودي البريطاني (ساب) - جاري,asset_cash,False
__import__.rawasi_coa_121006,121006,بنك البلاد - حساب جاري,asset_cash,False
__import__.rawasi_coa_121007,121007,البنك السعودي للاستثمار - جاري,asset_cash,False
__import__.rawasi_coa_12101,12101,ضريبة القيمة المضافة على المشتريات,asset_cash,False
__import__.rawasi_coa_1211001,1211001,سلفيات الموظفين,asset_cash,False
__import__.rawasi_coa_1211002,1211002,مسحوبات جاري الشركاء,asset_cash,False
__import__.rawasi_coa_1211003,1211003,عهدة المشاريع,asset_cash,False
