id,code,name_ar,category,description,is_mandatory_local
lcgpa_2002,2002,الخرسانة,الخرسانة,أعمال خرسانة للأرضيات سماكة (10)سم مع حديد تسليح (8ø10مم/م)في الاتجاهين مع عمل طبقة عازل من النايلون سمك لايقل عن 5 مايكرون اسفل الخرسانة,True
lcgpa_2003,2003,الخرسانة,الخرسانة,بالمتر الطولي توريد وتركيب بردورة أسمنتية مسبقة الصنع مقاس 50×30×10سم مشطوفة من الجهتين حسب التفاصيل والمناسيب الموضحة بالمخططات وتركب على طبقة خرساني,True
lcgpa_2007,2007,وحدات البناء والطوب,وحدات البناء والطوب,بالمتر المربع توريد وتركيب حوائط من البلوك الأسمنتي المفرغ مقاس 20*20*40سم حسب المواصفات والمخططات والسعر يشمل الكمرات الخرسانية كل ارتفاع 3 م وجميع م,True
lcgpa_2009,2009,وحدات البناء والطوب,وحدات البناء والطوب,توريد وتركيب بلاط انترلوك بجميع مقاساته سماكة 6 سم بالألوان المطلوبة للممرات والارصفة الخارجية، ويشمل البند تنفيذ خرسانة ضغط 250 كجم/سم² أسفل الإنترلو,True
lcgpa_2011,2011,المعادن والعزل,المعادن والعزل,اعمال تركيبات الهيكل المعدني الانشائي شاملا كل مايلزم من اعمدة وكمرات جانبية ودرج و سقف من الالواح المعدنية المعزولة والمدهونة سماكة 10 سم (sandwich p,True
lcgpa_2017,2017,المعادن والعزل,المعادن والعزل,توريـد ودهـان وجهيـن متعامـدين من البيتـومين المعتمد لزوم عمل طبقة عازلة للرطوبة للقواعـد والكمرات الأرضيـة ورقـاب الأعمدة وأسطـح الحوائــط الملامسـة,True
lcgpa_2019,2019,المعادن والعزل,المعادن والعزل,توريـد وفـرد طبقـة حمــاية (مانـع الأبخـرة) مـن البولـي ايثيليـــن سمك 0.20 مم أسفل الخرسانة العادية وبلاطات الأرضية المسلحة طبقا للمواصفات والمخططات.,True
lcgpa_2026,2026,مكافحة الحرائق,مكافحة الحرائق,طفاية حريق بدرة جافة ABC بسعة 6 كجم,True
lcgpa_2031,2031,المداخل والفتحات والتشطيبات,المداخل والفتحات والتشطيبات,أبواب المدخل الرئيسية نموذج (MD1) مقاس 2.00*2.40 سم الباب مكون من ضلفتين مفصليتين معدنيتين مفرغتى القطاع مجهزتين بشريحة روية من الزجاج المزدوج المقسى,True
lcgpa_2035,2035,المداخل والفتحات والتشطيبات,المداخل والفتحات والتشطيبات,توريد وتركيب طبقة عازلة للرطوبة بسمك 4 مم للحمامات والمطابخ والبوفيهات أومايماثلهم والبند يشمل جميع مايلزم من وزر و مواد ملحقة لأنهاء العمل كما هو موض,True
lcgpa_2036,2036,المداخل والفتحات والتشطيبات,المداخل والفتحات والتشطيبات,واجهة زجاجية مقاس 7200 × 3500 مم للمدخل الرئيسي,True
lcgpa_2037,2037,المداخل والفتحات والتشطيبات,المداخل والفتحات والتشطيبات,توريد وتركيب قواطيع زجاجية (partitions)  ذات ألواح مفردة من الزجاج السيكوريت  سماكة 12مم. يشمل السعر الإطارالمعدني من الاستينلس استيل بقطاع 20*35*1 مم,True
lcgpa_2038,2038,المداخل والفتحات والتشطيبات,المداخل والفتحات والتشطيبات,بالمتر المربع توريد وتركيب كلادنج من اجود الأنواع وحسب اعتماد الاستشاري لزوم تكسية أعمدة الاستيل استركشر حسب المخططات التنفيذية واصول الصنعه وتعليمات,True
lcgpa_2039,2039,المداخل والفتحات والتشطيبات,المداخل والفتحات والتشطيبات,وزرة من الخشب الصلب قطاع ( 100 × 20 مم ),True
lcgpa_2040,2040,المداخل والفتحات والتشطيبات,المداخل والفتحات والتشطيبات,توريد وتركيب بلاط الجرانيت السعودي مقاس (400 × 400 ×20مم) لبسطات الدرج,True
lcgpa_2041,2041,المداخل والفتحات والتشطيبات,المداخل والفتحات والتشطيبات,توريد وتركيب بلاط بورسلين ابيض للأرضيات مقاس 60سم -60 سم - 0.8 سم - من اجود الانواع (طبقة واحدة متجانسة ) يشمل الوزرات وطبقة من الاسمنت والرمل ومونة ا,True
lcgpa_2045,2045,مواد التشطيب,مواد التشطيب,بالمتر المربع توريد وتركيب سيمنت بورد لزوم تكسية أعمدة الاستيل استركشر حسب المخططات التنفيذية واصول الصنعة وتعليمات المهندس المشرف,True
lcgpa_2046,2046,مواد التشطيب,مواد التشطيب,"أعمال الاسقف الساده : توريد وتركيب أسقف من ألواح جبسبورد بسماكة 12 مم مقاومة للرطوبة والحريق شاملة فتحات الصيانة للغرف والممرات ,وجميع الاكسسوارات الل",True
lcgpa_2048,2048,مواد التشطيب,مواد التشطيب,توريد وعمل دهان للحوائط الداخلية والسلالم الداخلية والبند يشمل وجهين معجون مع الصنفرة الجيدة والتنظيف بالإضافة إلي وجه أساس   دهان بالرول ثلاثة اوجه ن,True
lcgpa_2049,2049,مواد التشطيب,مواد التشطيب,بالمتر المربع توريد وتنفيذ أعمال البياض الأسمنتي (اللياسة) والسعر يشمل التجهيز والتنظيف للحوائط وعمل طرطشة مسمارية مع تركيب الشبك المعدني والزوايا الم,True
lcgpa_2051,2051,مواد التشطيب,مواد التشطيب,مواسير قطر 25 مم .,True
lcgpa_2053,2053,مواد التشطيب,مواد التشطيب,طفاية حريق بودرة جافة  سعة  6 كيلو قابلة للحمل بالحائط (FE-1),True
lcgpa_2054,2054,مواد التشطيب,مواد التشطيب,توريد وتركيب وصلة دفاع مدني (Fire Department Connection) مصنعة وفقاً لمتطلبات الدفاع المدني المحلي ومعايير NFPA13 وNFPA14، على أن تكون الوصلة معتمدة U,True
lcgpa_2055,2055,مواد التشطيب,مواد التشطيب,توريد وتركيب صندوق هيدرانت خارجي مقاوم للعوامل الجوية من صاج مجلفن (سُمك 1.2–2 مم) مطلي بودرة إلكتروستاتيكية باللون الأحمر المقاوم للأشعة فوق البنفسجي,True
lcgpa_2057,2057,مواد التشطيب,مواد التشطيب,توريد وتركيب واختبار كبائن إطفاء حريق (FHC) من نوع (Class-llI) بفتحة واحدة من الصلب الذي لا يصدأ بالكامل (STANLSTEEL 316) من النوع الغاطس على أن يتم ت,True
lcgpa_2058,2058,مواد التشطيب,مواد التشطيب,مرحاض غربي من الخزف من ماركة ممتازة ، من النوعية المعلقة مع محبس طرد (Cocealed Flush Valve) من النوع LOW FLOW ويشمل السعر جميع الملحقات والصمامات ورشا,True
lcgpa_2062,2062,السباكة,السباكة,مواسير قطر 15 مم,True
lcgpa_2063,2063,السباكة,السباكة,سخان من النوع EWH-1 ل 50 لتر .,True
lcgpa_2064,2064,السباكة,السباكة,ـ أنابيب بقطر 4 بوصة .,True
lcgpa_2065,2065,السباكة,السباكة,ـ أنابيب قطر 6 بوصة، Class - 4,True
lcgpa_2066,2066,السباكة,السباكة,ماسورة بقطر 1/2 بوصة - بارد,True
lcgpa_2067,2067,السباكة,السباكة,إنشاء خزان مياه شرب وحريق أرضي مقاس 480 متر مكعب حسب الرسومات المرفقة (320 م3 مياة شرب & 160 م3 مياه حريق) من الخرسانة المسلحة من الاسمنت المقاوم للأم,True
lcgpa_2068,2068,السباكة,السباكة,(EF-1) مراوح تركب بالسقف                                                       (Type: Centrifugal Roof mounted) -                          CAP: 400CFM,True
lcgpa_2073,2073,السباكة,السباكة,"توريد وتركيب جريلة تهوية سحب (Exhaust Vent Grille) بمقاس 20×20 سم (8"")",True
lcgpa_2074,2074,السباكة,السباكة,توريد وتركيب مروحة محورية (Axial Fan) ذات تدفق هواء 1650 CFM وضغط إستاتيكي خارجي 0.15 in.wg، مع المحرك الكهربائي المطلوب وأعمال التركيب اللازمة في الس,True
lcgpa_2078,2078,السباكة,السباكة,"مكيف سبليت نوع Hi-Wall Mounted بقدرة 18,000 BTU/hr",True
lcgpa_2079,2079,السباكة,السباكة,توريد وتركيب واختبار مجاري هواء مصنوعة من الصاج المجلفن ويشتمل البند على جميع الاعمال الميكانيكية واعمال العزل وقطع التوصيل اللازمة وفواصل التمدد (Exp,True
lcgpa_2083,2083,التدفئة والتهوية والتكييف,التدفئة والتهوية والتكييف,كيبل نحاس 3*300 مم2 جهد متوسط مسلح تمديد مباشر,True
lcgpa_2086,2086,التدفئة والتهوية والتكييف,التدفئة والتهوية والتكييف,توريد وتركيب وتشغيل واختبار وحدة محول مدمج قدرة 500 ك.ف.أ - جهد (13.8 / 0.4 ) ك.ف. وحدة خارجية (Outdoor Unit) شامل لوحة الجهد المتوسط SF6 - RMU وايضا,True
lcgpa_2087,2087,التدفئة والتهوية والتكييف,التدفئة والتهوية والتكييف,وحدة انارة 45 وات ليد 60*60 سم,True
lcgpa_2088,2088,التدفئة والتهوية والتكييف,التدفئة والتهوية والتكييف,مخرج مفرد 13 أمبير,True
lcgpa_2091,2091,التدفئة والتهوية والتكييف,التدفئة والتهوية والتكييف,توريد وتركيب حوامل كابلات بعرض 45 سم وارتفاع 10سم من الحديد المجلفن والبند يشمل جميع اكسسوارات التركيب والتثبيت وتثبيت الكابلات وكل ما يلزم لانهاء الب,True
lcgpa_2092,2092,التدفئة والتهوية والتكييف,التدفئة والتهوية والتكييف,توريد وتركيب وتوصيل نظام التأريض كامل ويشمل السعر الأسلاك النحاسيه والقضبان الأرضيه والقضبان الهوائية والكابلات الارضية وجميع اكسسوارات الربط والتوصيل,True
lcgpa_2094,2094,التدفئة والتهوية والتكييف,التدفئة والتهوية والتكييف,كيبل نحاس 4*50+25 مم2 جهد منخفض غير مسلح يتم التمديد داخل مواسير PVC,True
lcgpa_2096,2096,التدفئة والتهوية والتكييف,التدفئة والتهوية والتكييف,توريد وتركيب وتشغيل واختبار وتوصيل لوحة توزيع فرعية بقاطع رئيسي 150 أمبير نوع MCCB عدد 36 خط شاملاً قواطع فرعية حسب الاحمال المطلوبة وكل مايلزم لإنهاؤ,True
lcgpa_2100,2100,الكهرباء,الكهرباء,"توريد وتركيب نظام تصريف مياه الأمطار من نوع ""جرجوري"" (Grigori) مقاس 4 بوصة أو ما يعادله من ماركات معتمدة، يشمل المزاريب الخارجية أو الداخلية المصنوعة",True
lcgpa_2103,2103,الكهرباء,الكهرباء,"توريد وتركيب خزان علوي بسعة 10,000 لتر، مصنوع من مادة البولي إيثيلين المعالج حرارياً عالي الكثافة (HDPE)،مقاوم للأشعة فوق البنفسجية (UV Stabilized) وم",True
lcgpa_2104,2104,الكهرباء,الكهرباء,توريد وتركيب خط أنابيب من مادة البولي إيثيلين عالي الكثافة (HDPE) بقطر 6 بوصة (160 مم) بنسبة أبعاد SDR=11، لتحمل ضغط تشغيل 16 بار (PN16)، مطابق للمواص,True
lcgpa_2106,2106,الكهرباء,الكهرباء,غرفة تفتيش بعمق يصل لِ 0.4 متر من نوع (جليتراب),True
lcgpa_2119,2119,الكهرباء,الكهرباء,توريد وتركيب صمام اختبار وتصريف (Test & Drain Valve) من النحاس المطلي، مقاس 1 بوصة (DN25)، نوع Full Port، مزود بـ 3 وضعيات تشغيل (غلق – اختبار – تصريف,True
lcgpa_2120,2120,الكهرباء,الكهرباء,توريد وتركيب واختبار صمامات تحكم لكل منطقة (Zone) كاملة من النوع ( OS&Y ) ومحبس عدم رجوع طبقاً للمواصفات والمخططات ومتطلبات الدفاع المدني و NFPA (Gate,True
lcgpa_2121,2121,الكهرباء,الكهرباء,محبس تخفيض ضغط 4 بوصة معاير حسب متطلبات النظام,True
lcgpa_2124,2124,الكهرباء,الكهرباء,مروحة سحب In-Line Exhaust Fan – 250 L/s @ 0.25 in.wg,True
lcgpa_2125,2125,الكهرباء,الكهرباء,توريد وتركيب وتشغيل مضخة تعزيز ضغط (Booster Pump) متعددة المراحل، بقدرة تدفق 52.5 جالون/دقيقة (≈200 لتر/دقيقة) وضغط تشغيلي بين 3 إلى 3.5 بار، مناسبة ل,True
lcgpa_2127,2127,الكهرباء,الكهرباء,توريد وتركيب وحدة ضخ لمكافحة الحريق ثلاثية التكوين طبقاً لاشتراطات وتوجيهات الدفاع المدني المحلي والمعايير الدولية NFPA20، وتتكون الوحدة من مضخة رئيسي,True
lcgpa_2153,2153,الخدمات والمرافق,الخدمات والمرافق,توريد وتركيب مضخة غاطسة من النوع الطارد المركزي مصممة للتشغيل تحت الماء بقدرة 1/2 حصان،تعمل بقدرة 5 متر مكعب/الساعة، بحيث تكون المضخة مصنعة بالكامل من,True
lcgpa_2158,2158,الخدمات والمرافق,الخدمات والمرافق,دولاب بكابينة علوية عرض 400 مم,True
lcgpa_2159,2159,الخدمات والمرافق,الخدمات والمرافق,لوحات ارشادية لمسمي المبني بنظام BUILT-UP حسب المقاس المطلوب (10م2).,True
lcgpa_2165,2165,الخدمات والمرافق,الخدمات والمرافق,مواسير قطر 25 مم .,True
lcgpa_2172,2172,الخدمات والمرافق,الخدمات والمرافق,توريد وتركيب واختبار وتوصيل وتشغيل مصعد كهربائي  حمولة 1000 كجم   بسرعة 1 م/ث وتكون الازرار من النوع Micro Push  ويكون المصعد مجهز بواسطة Fire Detecti,True
lcgpa_2183,2183,الخدمات والمرافق,الخدمات والمرافق,وحدات من الكوريان للأحواض بدورات المياه عرض (600) مم شاملة الوزرة الخلفية والتجليد الامامي مع أعمال التثبيت.,True
lcgpa_2353,2353,أعمال خاصة,أعمال خاصة,سيرميك مزجج 150×150 مم على طبقا للمخططات,True
lcgpa_7004,7004,أعمال الموقع العام,أعمال الموقع العام,كرسي دوار ظهر طويل ففئة ( ج ) طبقاً للمواصفة رقم (620 12 ).,True
lcgpa_7012,7012,أعمال الموقع العام,أعمال الموقع العام,كابينة C-19 من المعدن لحفظ أدوات الورشة بابعاد                                    ( 3000*600*1600 مم ),True
lcgpa_7013,7013,أعمال الموقع العام,أعمال الموقع العام,طقم مكتب فئة ( د ) يشمل ( طاولة مكتب-  طاولة شاي صغيرة -  دولاب - كرسي دوار - كراسي زوار  ) طبقاُ الأعداد والمواصفات الموضحة بالمواصفة رقم (610 12),True
